name,set,total,usd,usd_foil,usd_etched,release_date,year
Plains,Archenemy,0.53,0.53,0.0,0.0,2010-06-18,2010
Plains,Magic 2011,8.629999999999999,0.61,8.02,0.0,2010-07-16,2010
Plains,Duel Decks: Elspeth vs. Tezzeret,0.97,0.97,0.0,0.0,2010-09-03,2010
Plains,Scars of Mirrodin,5.630000000000001,0.62,5.01,0.0,2010-10-01,2010
Plains,Magic Online Theme Decks,0.0,0.0,0.0,0.0,2010-11-08,2010
Plains,Magic Premiere Shop 2011,1.03,0.93,0.1,0.0,2011-01-01,2011
Plains,Salvat 2011,0.0,0.0,0.0,0.0,2011-01-01,2011
Plains,Mirrodin Besieged,2.31,0.29000000000000004,2.02,0.0,2011-02-04,2011
Plains,Duel Decks: Knights vs. Dragons,0.63,0.63,0.0,0.0,2011-04-01,2011
Plains,New Phyrexia,7.550000000000001,0.37,7.18,0.0,2011-05-13,2011
Plains,Duel Decks: Mirrodin Pure vs. New Phyrexia,0.0,0.0,0.0,0.0,2011-05-14,2011
Plains,Commander 2011,0.56,0.56,0.0,0.0,2011-06-17,2011
Plains,Magic 2012,2.22,0.54,1.6800000000000002,0.0,2011-07-15,2011
Plains,Duel Decks: Ajani vs. Nicol Bolas,0.12,0.12,0.0,0.0,2011-09-02,2011
Plains,Innistrad,3.31,0.69,2.62,0.0,2011-09-30,2011
Plains,Duel Decks: Venser vs. Koth,0.72,0.72,0.0,0.0,2012-03-30,2012
Plains,Avacyn Restored,4.72,0.55,4.17,0.0,2012-05-04,2012
Plains,Planechase 2012,0.78,0.78,0.0,0.0,2012-06-01,2012
Plains,Magic 2013,5.66,0.46,5.199999999999999,0.0,2012-07-13,2012
Plains,Return to Ravnica,2.4,0.52,1.88,0.0,2012-10-05,2012
Plains,Duel Decks: Sorin vs. Tibalt,0.8,0.8,0.0,0.0,2013-03-15,2013
Plains,Dragon's Maze Promos,0.34,0.0,0.34,0.0,2013-04-27,2013
Plains,Magic 2014,2.1900000000000004,0.32,1.87,0.0,2013-07-19,2013
Plains,Duel Decks: Heroes vs. Monsters,0.9299999999999999,0.9299999999999999,0.0,0.0,2013-09-06,2013
Plains,Theros,2.62,0.47,2.15,0.0,2013-09-27,2013
Plains,Commander 2013,0.47,0.47,0.0,0.0,2013-11-01,2013
Plains,Judge Gift Cards 2014,65.75,0.0,65.75,0.0,2014-01-01,2014
Plains,Modern Event Deck 2014,0.57,0.57,0.0,0.0,2014-05-30,2014
Plains,Magic 2015,2.8600000000000003,0.45,2.41,0.0,2014-07-18,2014
Plains,Duel Decks: Speed vs. Cunning,0.66,0.66,0.0,0.0,2014-09-05,2014
Plains,Khans of Tarkir,2.05,0.53,1.52,0.0,2014-09-26,2014
Plains,Commander 2014,0.33,0.33,0.0,0.0,2014-11-07,2014
Plains,Duel Decks Anthology: Divine vs. Demonic,0.83,0.83,0.0,0.0,2014-12-05,2014
Plains,Fate Reforged,0.96,0.14,0.8200000000000001,0.0,2015-01-23,2015
Plains,Duel Decks: Elspeth vs. Kiora,0.48000000000000004,0.48000000000000004,0.0,0.0,2015-02-27,2015
